X(m) Y(m) Z(m)
181.354829 -262.269795 164.326486
181.369829 -262.264795 164.325486
181.373829 -262.257795 164.327486
181.358829 -262.270795 164.328486
181.371829 -262.261795 164.329486
181.366829 -262.259795 164.308486
181.633197 -262.481889 163.383970
181.366829 -262.259795 164.319486
181.624197 -262.478889 163.369970
181.114462 -262.037702 165.256002
181.367829 -262.259795 164.328486
181.111462 -262.037702 165.262002
180.868094 -261.816608 166.202517
181.125462 -262.028702 165.255002
181.111462 -262.038702 165.280002
181.385829 -262.257795 164.319486
181.370829 -262.264795 164.333486
181.110462 -262.034702 165.257002
181.376829 -262.259795 164.322486
181.357829 -262.235795 164.344486
181.362829 -261.541795 164.355486
181.321829 -259.491795 164.291486
181.614197 -256.754889 163.372970
181.336829 -252.117795 164.397486
181.618197 -248.197889 163.337970
181.331829 -245.012795 164.365486
181.359829 -242.978795 164.356486
181.378829 -242.232795 164.307486
181.382829 -242.622795 164.316486
181.402829 -244.171795 164.390486
181.414829 -247.014795 164.337486
181.412829 -249.858795 164.402486
181.429829 -251.673795 164.330486
181.387829 -252.255795 164.303486
181.423829 -252.779795 164.265486
181.414829 -254.484795 164.325486
181.416829 -257.466795 164.364486
181.397829 -260.188795 164.396486
181.402829 -261.861795 164.338486
181.389829 -262.271795 164.314486
181.377829 -262.271795 164.329486
181.385829 -262.265795 164.340486
181.382829 -262.266795 164.342486
181.389829 -262.261795 164.326486
181.374829 -262.260795 164.319486
181.378829 -262.252795 164.304486
181.389829 -262.247795 164.312486
181.389829 -262.245795 164.304486
181.375829 -262.248795 164.317486
181.386829 -262.245795 164.296486
181.378829 -262.253795 164.319486
181.387829 -262.245795 164.314486
181.376829 -262.250795 164.309486
181.394829 -262.247795 164.319486
181.387829 -262.253795 164.318486
181.394829 -262.246795 164.311486
181.385829 -262.255795 164.322486
181.386829 -262.250795 164.324486
181.388829 -262.247795 164.312486
181.365829 -262.256795 164.315486
181.385829 -262.250795 164.308486
181.382829 -262.253795 164.310486
181.380829 -262.247795 164.307486
181.384829 -262.246795 164.314486
181.387829 -262.253795 164.318486
181.390829 -262.252795 164.324486
181.390829 -262.255795 164.313486
181.393829 -262.250795 164.317486
181.379829 -262.246795 164.306486
181.391829 -262.242795 164.308486
181.386829 -262.250795 164.322486
181.381829 -262.257795 164.338486
181.386829 -262.247795 164.315486
181.390829 -262.251795 164.318486
181.384829 -262.250795 164.319486
181.390829 -262.246795 164.319486
181.386829 -262.258795 164.342486
181.387829 -262.252795 164.321486
181.389829 -262.247795 164.312486
181.386829 -262.248795 164.310486
181.374829 -262.250795 164.308486
181.376829 -262.254795 164.320486
181.367829 -262.257795 164.320486
181.383829 -262.253795 164.312486
181.390829 -262.247795 164.311486
181.386829 -262.249795 164.301486
181.390829 -262.254795 164.323486
181.383829 -262.254795 164.320486
181.127462 -262.021702 165.252002
181.381829 -262.257795 164.323486
181.385829 -262.249795 164.312486
181.378829 -262.256795 164.329486
181.395829 -262.242795 164.306486
181.391829 -262.248795 164.307486
181.383829 -262.248795 164.316486
181.372829 -262.250795 164.318486
181.377829 -262.254795 164.320486
181.384829 -262.250795 164.308486
181.387829 -262.248795 164.316486
181.373829 -262.258795 164.330486
